;LAnkle_c;LAnkle_x;LAnkle_y;LEar_c;LEar_x;LEar_y;LElbow_c;LElbow_x;LElbow_y;LEye_c;LEye_x;LEye_y;LHip_c;LHip_x;LHip_y;LKnee_c;LKnee_x;LKnee_y;LShoulder_c;LShoulder_x;LShoulder_y;LWrist_c;LWrist_x;LWrist_y;Neck_c;Neck_x;Neck_y;Nose_c;Nose_x;Nose_y;RAnkle_c;RAnkle_x;RAnkle_y;REar_c;REar_x;REar_y;RElbow_c;RElbow_x;RElbow_y;REye_c;REye_x;REye_y;RHip_c;RHip_x;RHip_y;RKnee_c;RKnee_x;RKnee_y;RShoulder_c;RShoulder_x;RShoulder_y;RWrist_c;RWrist_x;RWrist_y
53;0.549879;619.56;715.633;0.928153;605.865;366.895;0.951681;635.378;507.992;0.849623;592.205;362.919;0.82471;617.693;543.235;0.776344;641.119;596.107;0.874484;633.329;425.596;0.391291;586.301;462.919;0.927341;588.166;425.619;0.944672;586.224;368.86;0.661189;539.29;715.605;0.962212;558.841;368.757;0.879883;527.583;507.934;0.921476;572.617;362.932;0.841745;554.897;541.293;0.892344;525.531;586.286;0.879578;541.267;427.518;0.873378;588.265;468.704
54;0.512096;617.674;715.627;0.829228;603.965;374.686;0.928207;637.193;509.793;0.875216;592.164;370.783;0.792182;615.613;543.167;0.833634;635.231;588.21;0.884242;631.367;431.517;0.507323;602.024;476.569;0.976793;586.35;431.557;0.969247;586.253;382.558;0.657168;539.205;715.605;0.895341;558.824;380.513;0.892607;537.251;509.805;0.919831;572.617;370.854;0.811905;552.993;541.235;0.824457;523.496;582.388;0.897464;541.263;431.525;0.880891;590.162;470.649
55;0.532318;619.528;715.63;0.910739;603.979;382.459;0.87939;637.226;504.015;0.881645;592.169;370.794;0.810111;615.632;541.289;0.858141;635.305;586.303;0.886977;633.199;431.577;0.515528;600.025;468.744;0.969078;588.152;433.48;0.943597;586.245;382.461;0.660944;539.22;715.598;0.928541;558.883;382.518;0.973192;539.305;507.864;0.936341;572.654;370.814;0.855295;554.937;541.189;0.835492;523.641;580.433;0.872763;541.315;433.488;0.823743;590.216;462.933
56;0.525505;619.54;715.628;0.805756;609.81;382.484;0.981003;635.192;507.963;0.906351;599.982;372.741;0.77977;613.732;543.17;0.829586;635.219;584.341;0.850307;631.358;435.429;0.505027;599.966;474.606;0.967117;588.158;433.546;0.956333;588.265;382.545;0.668974;539.287;715.603;0.88285;566.711;382.506;0.907877;537.324;509.847;0.852494;580.4;372.767;0.826451;554.883;541.261;0.852598;525.491;582.382;0.873323;543.156;433.482;0.799377;588.298;468.702
57;0.510889;617.596;715.637;0.922023;602.012;378.623;0.903825;633.191;511.875;0.904153;588.23;378.574;0.778836;613.658;541.3;0.840638;631.366;586.337;0.860567;629.352;431.45;0.415778;584.316;476.536;0.923314;582.382;431.597;0.865012;580.421;384.57;0.657107;541.187;715.607;0.924324;555.016;378.633;0.871966;529.513;519.679;0.896294;570.616;378.596;0.79778;551.008;541.285;0.848382;527.561;586.231;0.869609;537.278;435.43;0.88507;586.331;478.472
58;0.536425;617.598;715.632;0.886081;588.286;396.246;0.822442;629.344;523.543;0.904403;572.546;402.195;0.679634;611.756;539.25;0.810473;635.17;596.076;0.806234;619.613;439.33;0.329633;582.321;509.895;0.897525;570.694;441.304;0.852526;560.794;417.823;0.679655;541.303;715.601;0.706173;537.299;398.269;0.887086;523.506;523.543;0.848914;550.981;406.076;0.704842;545.179;541.161;0.766624;535.304;590.173;0.869918;523.607;445.117;0.767632;578.428;507.953
59;0.523255;615.685;715.638;0.869606;602.031;263.072;0.864513;635.302;415.815;0.941844;586.363;259.165;0.73653;619.538;490.228;0.769469;631.261;601.911;0.856819;633.336;325.691;0.371747;570.598;388.439;0.85487;580.417;327.71;0.884571;574.538;272.846;0.487783;541.283;715.627;0.802977;552.891;266.977;0.871691;525.512;423.629;0.864635;564.761;259.209;0.724852;541.287;488.347;0.815086;539.317;601.925;0.853437;527.471;333.492;0.820075;590.246;384.471
60;0.509201;615.68;715.639;0.914822;603.873;216.046;0.854655;643.054;368.844;0.955913;588.149;210.107;0.663714;619.561;466.781;0.760171;621.605;602.024;0.867584;635.284;286.528;0.448566;584.295;335.518;0.965461;586.207;288.453;0.84847;574.584;221.864;0.323319;541.199;715.639;0.905045;554.834;223.876;0.866428;529.435;380.578;0.913526;566.673;212.02;0.63225;541.298;468.736;0.712186;539.186;611.722;0.854474;535.314;288.56;0.851724;588.294;331.544
61;0.511728;613.731;715.64;0.902468;605.832;223.775;0.823577;641.165;362.952;0.954896;588.344;210.176;0.693167;619.569;462.869;0.788828;621.562;603.921;0.873734;637.198;288.476;0.583671;588.215;321.788;0.957981;586.328;288.521;0.832548;582.314;221.832;0.307821;541.261;715.648;0.92859;554.968;225.753;0.901251;527.585;368.865;0.980057;570.535;211.99;0.633896;543.214;464.827;0.760326;541.22;617.563;0.879409;539.17;288.567;0.79539;590.174;319.848
62;0.477946;613.713;715.642;0.909498;605.902;225.782;0.813378;645.048;362.923;0.913806;590.256;212.082;0.670202;619.66;464.802;0.767319;621.607;603.96;0.873465;635.346;290.382;0.485622;596.099;321.803;0.950705;586.279;290.425;0.854177;584.257;223.822;0.2794;541.238;715.647;0.952351;554.973;225.861;0.914436;529.478;368.821;0.985872;570.601;212.075;0.60912;543.238;466.793;0.730731;541.238;617.604;0.86384;537.249;290.456;0.838243;592.131;319.771
