,LAnkle_c,LAnkle_x,LAnkle_y,LEar_c,LEar_x,LEar_y,LElbow_c,LElbow_x,LElbow_y,LEye_c,LEye_x,LEye_y,LHip_c,LHip_x,LHip_y,LKnee_c,LKnee_x,LKnee_y,LShoulder_c,LShoulder_x,LShoulder_y,LWrist_c,LWrist_x,LWrist_y,Neck_c,Neck_x,Neck_y,Nose_c,Nose_x,Nose_y,RAnkle_c,RAnkle_x,RAnkle_y,REar_c,REar_x,REar_y,RElbow_c,RElbow_x,RElbow_y,REye_c,REye_x,REye_y,RHip_c,RHip_x,RHip_y,RKnee_c,RKnee_x,RKnee_y,RShoulder_c,RShoulder_x,RShoulder_y,RWrist_c,RWrist_x,RWrist_y
2,0.55887,611.726,715.62,0.867115,607.864,231.656,0.887336,633.194,366.815,0.960492,586.334,243.473,0.666041,615.661,468.752,0.764326,615.629,601.922,0.863102,633.259,286.487,0.640496,545.185,353.085,0.916429,580.384,288.422,0.94598,572.581,259.038,0.482554,553.003,715.627,0.706952,552.894,227.806,0.902381,519.674,366.899,0.861365,560.864,243.382,0.690494,541.214,472.622,0.732313,545.164,603.908,0.891034,525.636,288.517,0.957503,588.24,321.858
2,0.584341,607.859,715.623,1.0153,603.832,225.884,0.893162,619.675,366.852,0.865951,580.395,223.863,0.665104,607.878,474.607,0.757057,609.759,603.866,0.818888,623.529,284.559,0.680817,541.278,349.247,0.94189,572.602,286.563,0.832115,568.594,235.559,0.506796,554.891,715.623,0.582725,543.192,227.774,0.938613,509.896,366.901,0.939408,555.023,225.703,0.693363,539.169,476.542,0.76027,541.309,605.862,0.887152,523.602,288.514,0.863273,586.187,321.856
2,0.599938,609.783,715.622,0.830351,586.213,288.566,0.854292,617.66,404.06,0.797915,572.478,308.141,0.706049,607.865,476.607,0.785665,605.875,601.998,0.859024,615.69,319.735,0.426143,531.426,400.176,0.943674,558.929,321.746,0.732161,558.925,323.75,0.486998,554.874,715.626,0.692502,525.611,296.339,0.913446,509.811,415.803,0.749737,547.078,313.967,0.741129,539.294,476.599,0.769434,541.24,605.906,0.860271,507.965,323.756,0.865747,572.515,374.691
2,0.647071,607.82,715.623,0.507228,590.212,417.777,0.792,619.554,494.275,0.721489,572.649,445.124,0.711348,603.881,515.747,0.77246,602.04,609.77,0.812632,619.683,417.844,0.626124,549.028,494.161,0.920099,570.536,417.788,0.715625,568.673,451.089,0.566215,552.992,715.629,0.505518,539.177,415.904,0.753655,513.799,496.177,0.657924,556.884,445.141,0.714816,537.29,515.784,0.778003,521.644,615.676,0.823508,513.821,415.764,0.400872,580.392,488.285
2,0.5927,605.874,715.617,0.997087,600.009,366.925,0.953816,619.581,494.246,0.869768,580.414,368.765,0.76807,607.83,537.338,0.810158,594.135,584.247,0.908781,619.574,413.961,0.430921,556.915,476.608,0.978709,572.559,415.845,0.944644,570.611,382.454,0.634887,531.437,701.868,0.842877,543.235,368.836,0.862829,515.755,494.31,0.922135,556.994,368.827,0.79406,545.121,539.271,0.844399,500.083,572.664,0.914113,525.559,415.852,0.887958,578.458,460.794
0,0.717938,584.299,715.618,0.973746,603.902,364.932,0.82006,625.448,486.395,0.946968,586.34,355.099,0.784664,613.685,537.251,0.845264,594.148,588.163,0.859834,629.407,413.826,0.570495,566.706,462.869,0.97505,586.173,415.749,0.900003,576.452,366.868,0.656489,531.427,715.599,0.879099,555.002,368.917,0.890812,529.466,490.312,0.882075,568.628,359.037,0.766577,552.9,535.364,0.812041,509.955,582.352,0.911067,539.265,415.843,0.871738,588.32,447.2
0,0.714564,588.196,715.596,0.99533,615.691,368.745,0.880877,633.339,482.441,0.887777,598.02,362.948,0.771703,613.702,533.41,0.857194,603.997,580.383,0.905263,635.251,415.938,0.487383,572.597,453.116,0.957639,590.169,415.919,0.931793,586.36,370.734,0.658128,537.331,715.606,0.696637,570.494,372.746,0.878049,533.347,480.467,0.913903,574.592,366.763,0.782491,550.999,529.464,0.807709,523.488,580.393,0.879589,547.075,415.822,0.870843,594.151,447.11
0,0.714261,586.323,715.609,0.990421,615.678,368.822,0.875366,633.317,486.389,0.901828,599.964,362.931,0.780702,611.752,537.315,0.844743,603.996,582.364,0.899223,635.249,417.803,0.527926,572.578,458.894,0.969246,588.333,417.783,0.929498,588.208,368.879,0.642864,539.242,715.616,0.814537,568.686,374.684,0.873822,531.403,478.628,0.89045,576.505,364.924,0.748733,549.021,533.36,0.819565,511.818,584.319,0.875774,545.126,415.914,0.84502,594.128,447.221
0,0.720891,588.182,715.612,0.947791,613.672,368.77,0.8773,633.245,482.415,0.87136,596.092,362.972,0.784488,611.754,537.303,0.825926,607.871,584.289,0.907838,633.373,417.78,0.581768,570.63,458.95,0.994237,588.23,417.785,0.920063,586.335,370.735,0.667218,539.266,715.612,0.779979,566.644,376.618,0.881126,529.465,480.483,0.930608,574.514,366.795,0.768915,547.133,533.385,0.781646,515.781,582.354,0.893285,543.157,415.934,0.839784,590.269,449.146
0,0.706,588.216,715.606,0.965451,613.654,368.81,0.861126,633.273,484.438,0.862679,596.06,362.956,0.771251,611.774,537.301,0.787806,611.76,584.256,0.902833,633.373,417.797,0.535706,572.505,460.902,0.980761,588.22,417.814,0.911545,586.318,368.906,0.656985,539.26,715.613,0.808874,564.744,376.638,0.870403,531.435,480.509,0.91957,574.517,366.778,0.765159,549.056,533.414,0.799732,513.777,584.327,0.879305,543.141,417.794,0.85965,590.218,449.144
0,0.710543,588.188,715.609,0.974245,613.719,368.778,0.858258,633.228,488.277,0.876139,597.988,362.954,0.793564,611.768,539.193,0.815593,611.741,586.234,0.894004,635.191,417.861,0.53479,572.534,460.862,0.97514,588.23,417.862,0.917418,586.353,368.919,0.664626,539.286,715.61,0.799706,566.695,374.698,0.848628,531.449,482.469,0.920167,574.552,366.777,0.780903,549.035,535.334,0.795399,519.627,582.382,0.887144,541.312,417.817,0.845745,590.219,449.191
0,0.722032,586.334,715.614,0.973172,615.642,368.839,0.873404,633.285,484.373,0.884514,598.047,362.913,0.790968,611.765,537.331,0.828769,607.826,584.31,0.893925,635.177,417.848,0.491172,572.572,460.871,0.973696,588.252,417.847,0.929621,586.361,368.878,0.656746,539.276,715.612,0.784961,568.63,374.724,0.856608,531.443,482.415,0.901132,574.579,364.927,0.775248,549.076,535.329,0.795862,521.563,584.254,0.878456,543.199,417.807,0.885999,588.325,449.138
0,0.642917,588.187,715.605,0.946403,607.853,368.747,0.862962,627.43,494.235,0.901743,588.324,359.009,0.769862,613.699,537.299,0.824334,602.036,584.25,0.878429,633.306,419.782,0.60902,570.51,470.726,0.961022,588.159,421.673,0.889335,580.43,368.79,0.644706,541.296,715.592,0.774213,558.846,372.782,0.906677,529.45,494.25,0.938657,570.599,364.855,0.796932,552.924,533.392,0.859735,525.537,574.539,0.892351,541.222,419.784,0.780753,590.198,460.932
1,0.66888,592.171,715.607,0.911551,604.009,372.728,0.893585,621.634,509.894,0.966234,586.34,368.762,0.744531,609.808,537.318,0.898103,603.94,586.19,0.835279,631.314,427.513,0.362149,568.647,492.186,0.909551,582.322,427.54,0.915933,572.663,382.419,0.668286,545.115,715.597,0.753914,554.876,376.67,0.953793,525.614,509.926,0.890739,566.657,368.848,0.777495,547.112,535.338,0.825531,525.512,586.316,0.840742,531.419,427.595,0.920938,588.176,476.512
1,0.641262,592.15,715.622,0.901915,596.082,351.234,0.792629,619.578,492.23,0.924106,572.598,355.07,0.716336,604.021,519.681,0.812471,601.993,607.872,0.878993,619.652,400.155,0.484042,539.275,484.397,0.907817,568.604,400.25,0.860592,562.789,368.851,0.587769,543.196,715.623,0.698855,537.221,359.016,0.784361,515.775,496.161,0.829553,552.908,357.107,0.775819,537.289,521.661,0.81853,525.596,615.63,0.835393,511.805,404.047,0.775124,578.452,460.949
1,0.577432,588.309,715.628,0.908242,592.203,225.782,0.853409,617.521,368.822,0.960241,572.616,212.108,0.700916,602.018,478.53,0.745728,592.201,613.692,0.896231,617.643,288.518,0.598766,541.215,345.337,0.91166,566.678,290.413,0.857983,560.857,225.754,0.465191,543.17,715.638,0.856127,537.289,229.803,0.875805,500.109,368.754,0.865316,551.005,214.104,0.705872,525.625,476.609,0.743442,531.419,617.539,0.8756,509.94,290.505,0.804754,572.582,323.808
1,0.629109,590.201,715.62,0.933252,601.952,221.905,0.891962,619.657,353.161,0.915947,582.384,210.075,0.682158,603.931,476.566,0.740273,596.076,611.765,0.817349,621.542,280.671,0.657361,552.904,323.766,0.912232,570.691,282.618,0.854205,570.629,219.931,0.505243,543.204,715.629,0.888991,541.291,227.785,0.875877,503.981,351.174,0.967934,556.871,212.058,0.657669,527.519,474.595,0.717467,535.344,613.726,0.811038,521.643,282.622,0.737922,574.565,315.903
1,0.63606,592.154,715.612,0.885177,605.888,221.912,0.841946,625.502,351.271,0.955021,588.211,210.081,0.668935,603.989,476.557,0.742879,598.059,605.925,0.794463,629.352,280.671,0.660735,554.866,323.742,0.882897,574.577,280.637,0.827238,574.589,219.934,0.510095,543.212,715.625,0.845078,550.994,225.866,0.895142,507.967,349.194,0.885486,564.729,212.001,0.626366,527.566,474.558,0.705943,537.301,611.719,0.855391,525.493,278.708,0.743596,588.218,310.025
1,0.630663,590.24,715.615,0.884281,605.873,219.951,0.85402,623.477,353.17,0.953622,588.194,210.077,0.676977,603.994,476.582,0.74164,597.996,609.777,0.801218,629.393,280.631,0.675544,552.984,323.83,0.890097,574.581,278.684,0.840255,574.553,219.93,0.503969,543.202,715.625,0.840562,551.013,225.784,0.905727,507.924,351.086,0.891354,564.73,210.181,0.637963,527.574,474.569,0.715775,537.268,609.791,0.858573,525.477,276.796,0.692864,588.239,313.964
2,0.644661,592.168,715.61,0.930066,603.899,221.854,0.839756,619.695,364.856,0.9628,586.243,212.125,0.701052,603.961,476.584,0.778981,597.99,604.004,0.804297,623.539,282.614,0.557589,539.281,341.42,0.904436,572.544,284.538,0.92648,572.561,225.864,0.527518,541.287,715.622,0.892208,541.333,225.851,0.877325,507.865,362.968,0.914722,558.817,214.088,0.661688,529.457,474.606,0.728365,537.262,607.827,0.820643,521.621,284.56,0.803923,582.325,319.788
2,0.66141,592.13,715.612,0.894823,590.194,272.73,0.856649,619.507,413.96,0.914259,572.474,270.839,0.710803,607.806,488.305,0.811191,599.985,603.91,0.811291,615.693,329.599,0.542423,535.33,400.214,0.879324,560.81,331.572,0.839857,558.837,282.6,0.594351,541.274,715.616,0.845136,529.453,270.89,0.866993,507.87,425.595,0.833783,550.966,270.871,0.701808,537.293,486.363,0.775247,539.182,605.892,0.859332,509.822,333.553,0.84158,578.439,382.445
2,0.651508,590.18,715.612,0.947451,588.15,364.919,0.806602,607.829,509.881,0.858564,568.642,368.763,0.71132,609.763,523.569,0.759061,609.76,609.761,0.849585,615.697,413.917,0.540024,552.931,478.519,0.880083,560.827,411.912,0.897233,554.983,382.584,0.640641,541.291,715.622,0.77086,525.58,368.833,0.813414,515.729,502.054,0.886268,541.228,368.903,0.851746,541.174,521.65,0.758092,519.663,617.535,0.863978,509.791,409.907,0.715559,568.613,468.725
